"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"STC8H8K64U1";"DIP-28_W7.62mm_LongPads";1;"Conn_02x14_Counter_Clockwise";;;
2;"Ultrasonic_Pinout1,Stepper_motor2,Stepper_motor1";"JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical";3;"Conn_01x04_Socket";;;
3;"U4";"TO-220-3_Vertical";1;"LM7805_TO220";;;
4;"U2";"nRF24L01_Breakout";1;"NRF24L01_Breakout";;;
5;"U1";"TO-220-3_Vertical";1;"LD33v_TO220";;;
6;"TOF_sensor1,Debug_Pinout1";"PinSocket_1x03_P2.54mm_Vertical";2;"Conn_01x03_Socket";;;
7;"R3,R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"10k";;;
8;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"220";;;
9;"Q1";"TO-92_Inline";1;"S8050";;;
10;"Power_in1";"JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical";1;"Conn_01x02_Socket";;;
11;"D1";"LED_D3.0mm";1;"LED";;;
12;"C4";"CP_Radial_D5.0mm_P2.50mm";1;"220uF";;;
13;"C3,C1";"C_Disc_D5.0mm_W2.5mm_P2.50mm";2;"10nF";;;
14;"C2";"CP_Radial_D5.0mm_P2.00mm";1;"22uF";;;
15;"A2,A1";"Pololu_Breakout-16_15.2x20.3mm";2;"Pololu_Breakout_DRV8825";;;
